exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
1,2/14/2026,5,14:00,1,5,1,CP,control,NA
1,2/14/2026,5,14:00,1,5,2,OP,control,NA
1,2/14/2026,5,14:00,1,5,3,OP,control,NA
1,2/14/2026,5,14:00,1,5,4,CP,warming,36.5
1,2/14/2026,5,14:00,1,5,5,thermometer,NA,NA
1,2/14/2026,5,14:00,1,5,6,CP,warming,36.8
1,2/14/2026,5,14:00,1,5,7,CP,warming,36.5
1,2/14/2026,5,14:00,1,5,8,OP,control,NA
1,2/14/2026,5,14:00,1,5,9,OP,warming,37.4
1,2/14/2026,5,14:00,1,5,10,OP,warming,36.8
1,2/14/2026,5,14:00,1,5,11,CP,control,35.7
1,2/14/2026,5,14:00,1,5,12,OP,warming,37.7
