exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
4,6/26/2026,10,11:30,2,4,1,CP,warming,36.5
4,6/26/2026,10,11:30,2,4,2,CP,control,35.6
4,6/26/2026,10,11:30,2,4,3,OP,warming,36.7
4,6/26/2026,10,11:30,2,4,4,OP,control,36.1
4,6/26/2026,10,11:30,2,4,5,thermometer,NA,NA
4,6/26/2026,10,11:30,2,4,6,OP,control,36
4,6/26/2026,10,11:30,2,4,7,OP,warming,36.4
4,6/26/2026,10,11:30,2,4,8,CP,warming,NA
4,6/26/2026,10,11:30,2,4,9,OP,control,35.5
4,6/26/2026,10,11:30,2,4,10,CP,warming,36.6
4,6/26/2026,10,11:30,2,4,11,CP,control,35.9
4,6/26/2026,10,11:30,2,4,12,CP,control,36.2
