exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
1,2/15/2026,6,15:00,1,5,1,OP,warming,36.9
1,2/15/2026,6,15:00,1,5,2,OP,control,36.5
1,2/15/2026,6,15:00,1,5,3,CP,control,36
1,2/15/2026,6,15:00,1,5,4,CP,control,36.1
1,2/15/2026,6,15:00,1,5,5,thermometer,NA,NA
1,2/15/2026,6,15:00,1,5,6,CP,warming,37.1
1,2/15/2026,6,15:00,1,5,7,OP,control,36.5
1,2/15/2026,6,15:00,1,5,8,CP,control,NA
1,2/15/2026,6,15:00,1,5,9,CP,warming,37.5
1,2/15/2026,6,15:00,1,5,10,OP,warming,36.8
1,2/15/2026,6,15:00,1,5,11,OP,control,NA
1,2/15/2026,6,15:00,1,5,12,CP,warming,NA
