exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
1,2/10/2026,1,8:40,1,5,1,CP,control,36
1,2/10/2026,1,8:40,1,5,2,OP,control,36
1,2/10/2026,1,8:40,1,5,3,CP,warming,36.1
1,2/10/2026,1,8:40,1,5,4,OP,control,36.1
1,2/10/2026,1,8:40,1,5,5,OP,warming,36.9
1,2/10/2026,1,8:40,1,5,6,thermometer,NA,NA
1,2/10/2026,1,8:40,1,5,7,CP,warming,37.3
1,2/10/2026,1,8:40,1,5,8,CP,control,35.8
1,2/10/2026,1,8:40,1,5,9,CP,warming,36.3
1,2/10/2026,1,8:40,1,5,10,OP,warming,36.8
1,2/10/2026,1,8:40,1,5,11,OP,control,35.8
1,2/10/2026,1,8:40,1,5,12,CP,control,35.9
