exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
3,4/6/2026,7,9,1,5,1,OP,control,36.6
3,4/6/2026,7,9,1,5,2,OP,control,36.3
3,4/6/2026,7,9,1,5,3,OP,warming,37.6
3,4/6/2026,7,9,1,5,4,CP,warming,36.9
3,4/6/2026,7,9,1,5,5,CP,warming,36.9
3,4/6/2026,7,9,1,5,6,OP,warming,37.5
3,4/6/2026,7,9,1,5,7,OP,control,36.8
3,4/6/2026,7,9,1,5,8,CP,control,35.9
3,4/6/2026,7,9,1,5,9,CP,warming,37.2
3,4/6/2026,7,9,1,5,10,OP,warming,37.5
3,4/6/2026,7,9,1,5,11,thermometer,NA,NA
3,4/6/2026,7,9,1,5,12,CP,control,35.8
