exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
5,8/18/2026,0,9:00,4,1,1,OP,warming,37.2
5,8/18/2026,0,9:00,4,1,2,OP,control,37.2
5,8/18/2026,0,9:00,4,1,3,CP,control,35.4
5,8/18/2026,0,9:00,4,1,4,CP,control,35.9
5,8/18/2026,0,9:00,4,1,5,OP,warming,36.9
5,8/18/2026,0,9:00,4,1,6,thermometer,NA,NA
5,8/18/2026,0,9:00,4,1,7,CP,control,36.5
5,8/18/2026,0,9:00,4,1,8,OP,control,36.2
5,8/18/2026,0,9:00,4,1,9,OP,control,36.8
5,8/18/2026,0,9:00,4,1,10,CP,warming,36.1
5,8/18/2026,0,9:00,4,1,11,CP,warming,35.3
5,8/18/2026,0,9:00,4,1,12,OP,warming,36.9
