exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
4,6/16/2026,0,13:30,2,4,1,thermometer,NA,NA
4,6/16/2026,0,13:30,2,4,2,CP,warming,35.8
4,6/16/2026,0,13:30,2,4,3,OP,warming,36.3
4,6/16/2026,0,13:30,2,4,4,CP,control,35.8
4,6/16/2026,0,13:30,2,4,5,CP,control,35.9
4,6/16/2026,0,13:30,2,4,6,CP,warming,35.3
4,6/16/2026,0,13:30,2,4,7,OP,control,37
4,6/16/2026,0,13:30,2,4,8,CP,warming,36.1
4,6/16/2026,0,13:30,2,4,9,OP,control,36.2
4,6/16/2026,0,13:30,2,4,10,CP,control,36.8
4,6/16/2026,0,13:30,2,4,11,OP,warming,36.5
4,6/16/2026,0,13:30,2,4,12,OP,warming,37.1
