exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
5,8/21/2026,3,11:00,4,1,1,CP,warming,35.4
5,8/21/2026,3,11:00,4,1,2,OP,warming,36.9
5,8/21/2026,3,11:00,4,1,3,OP,control,36.9
5,8/21/2026,3,11:00,4,1,4,OP,control,36.3
5,8/21/2026,3,11:00,4,1,5,CP,warming,36.3
5,8/21/2026,3,11:00,4,1,6,CP,control,36.3
5,8/21/2026,3,11:00,4,1,7,OP,control,37.1
5,8/21/2026,3,11:00,4,1,8,CP,control,36.2
5,8/21/2026,3,11:00,4,1,9,OP,warming,37.1
5,8/21/2026,3,11:00,4,1,10,thermometer,NA,NA
5,8/21/2026,3,11:00,4,1,11,CP,warming,35.9
5,8/21/2026,3,11:00,4,1,12,CP,control,36.1
