exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
3,3/30/2026,0,14,1,5,1,thermometer,NA,NA
3,3/30/2026,0,14,1,5,2,CP,warming,35.3
3,3/30/2026,0,14,1,5,3,OP,control,35.1
3,3/30/2026,0,14,1,5,4,OP,control,36.6
3,3/30/2026,0,14,1,5,5,OP,warming,36.8
3,3/30/2026,0,14,1,5,6,CP,warming,35.8
3,3/30/2026,0,14,1,5,7,OP,warming,36.8
3,3/30/2026,0,14,1,5,8,OP,control,36.2
3,3/30/2026,0,14,1,5,9,OP,warming,35.4
3,3/30/2026,0,14,1,5,10,CP,control,36
3,3/30/2026,0,14,1,5,11,CP,control,35.5
3,3/30/2026,0,14,1,5,12,CP,control,28.2
