exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
4,6/17/2026,1,10:30,2,4,1,OP,warming,36.5
4,6/17/2026,1,10:30,2,4,2,OP,warming,37.1
4,6/17/2026,1,10:30,2,4,3,OP,control,36.6
4,6/17/2026,1,10:30,2,4,4,CP,control,36.1
4,6/17/2026,1,10:30,2,4,5,CP,warming,37.3
4,6/17/2026,1,10:30,2,4,6,CP,control,36.4
4,6/17/2026,1,10:30,2,4,7,OP,control,36.3
4,6/17/2026,1,10:30,2,4,8,OP,control,36
4,6/17/2026,1,10:30,2,4,9,CP,warming,36
4,6/17/2026,1,10:30,2,4,10,CP,control,36.3
4,6/17/2026,1,10:30,2,4,11,OP,warming,36.8
4,6/17/2026,1,10:30,2,4,12,thermometer,NA,NA
