exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
3,4/2/2026,3,11:00,1,5,1,OP,warming,35.5
3,4/2/2026,3,11:00,1,5,2,OP,control,35.6
3,4/2/2026,3,11:00,1,5,3,CP,control,33.8
3,4/2/2026,3,11:00,1,5,4,CP,control,35
3,4/2/2026,3,11:00,1,5,5,CP,control,36.1
3,4/2/2026,3,11:00,1,5,6,OP,warming,35.7
3,4/2/2026,3,11:00,1,5,7,OP,control,36.1
3,4/2/2026,3,11:00,1,5,8,OP,control,35.9
3,4/2/2026,3,11:00,1,5,9,CP,warming,36.8
3,4/2/2026,3,11:00,1,5,10,thermometer,NA,NA
3,4/2/2026,3,11:00,1,5,11,OP,warming,36.9
3,4/2/2026,3,11:00,1,5,12,CP,warming,37.1
