exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
5,8/25/2026,7,10:00,4,1,1,CP,warming,37.1
5,8/25/2026,7,10:00,4,1,2,CP,control,36.7
5,8/25/2026,7,10:00,4,1,3,OP,control,35.9
5,8/25/2026,7,10:00,4,1,4,OP,control,37.1
5,8/25/2026,7,10:00,4,1,5,OP,warming,37
5,8/25/2026,7,10:00,4,1,6,CP,control,36.8
5,8/25/2026,7,10:00,4,1,7,OP,warming,37.2
5,8/25/2026,7,10:00,4,1,8,OP,warming,37.4
5,8/25/2026,7,10:00,4,1,9,CP,warming,36.3
5,8/25/2026,7,10:00,4,1,10,OP,control,36.9
5,8/25/2026,7,10:00,4,1,11,thermometer,NA,NA
5,8/25/2026,7,10:00,4,1,12,CP,control,35.6
