exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
3,4/3/2026,4,9:00,1,5,1,CP,control,36.1
3,4/3/2026,4,9:00,1,5,2,OP,warming,37.5
3,4/3/2026,4,9:00,1,5,3,OP,warming,36.5
3,4/3/2026,4,9:00,1,5,4,OP,control,36
3,4/3/2026,4,9:00,1,5,5,OP,warming,37.9
3,4/3/2026,4,9:00,1,5,6,CP,warming,37
3,4/3/2026,4,9:00,1,5,7,thermometer,NA,NA
3,4/3/2026,4,9:00,1,5,8,CP,control,36.7
3,4/3/2026,4,9:00,1,5,9,CP,warming,37.4
3,4/3/2026,4,9:00,1,5,10,OP,control,36.5
3,4/3/2026,4,9:00,1,5,11,OP,control,36.3
3,4/3/2026,4,9:00,1,5,12,CP,control,36.6
