exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
0.5,2/25/2026,0,16:00,1,5,1,OP,warming,36.1
0.5,2/25/2026,0,16:00,1,5,2,OP,warming,36.2
0.5,2/25/2026,0,16:00,1,5,3,CP,warming,34.8
0.5,2/25/2026,0,16:00,1,5,4,OP,control,36.1
0.5,2/25/2026,0,16:00,1,5,5,CP,control,35.2
0.5,2/25/2026,0,16:00,1,5,6,OP,control,35.7
0.5,2/25/2026,0,16:00,1,5,7,thermometer,NA,NA
0.5,2/25/2026,0,16:00,1,5,8,CP,control,35.7
0.5,2/25/2026,0,16:00,1,5,9,CP,control,35.2
0.5,2/25/2026,0,16:00,1,5,10,OP,warming,36
0.5,2/25/2026,0,16:00,1,5,11,CP,warming,34.9
0.5,2/25/2026,0,16:00,1,5,12,OP,control,36.2
