exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
5,8/20/2026,2,10:30,4,1,1,CP,warming,36.8
5,8/20/2026,2,10:30,4,1,2,OP,control,36.2
5,8/20/2026,2,10:30,4,1,3,OP,warming,36.3
5,8/20/2026,2,10:30,4,1,4,OP,control,35.2
5,8/20/2026,2,10:30,4,1,5,CP,warming,36.9
5,8/20/2026,2,10:30,4,1,6,CP,warming,36.6
5,8/20/2026,2,10:30,4,1,7,OP,warming,37
5,8/20/2026,2,10:30,4,1,8,CP,control,35.2
5,8/20/2026,2,10:30,4,1,9,OP,control,36.7
5,8/20/2026,2,10:30,4,1,10,CP,control,35.8
5,8/20/2026,2,10:30,4,1,11,thermometer,NA,NA
5,8/20/2026,2,10:30,4,1,12,OP,warming,36.5
