exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
5,8/28/2026,10,11:00,1,5,1,CP,control,36.5
5,8/28/2026,10,11:00,1,5,2,CP,warming,36.6
5,8/28/2026,10,11:00,1,5,3,OP,control,36
5,8/28/2026,10,11:00,1,5,4,CP,warming,36.7
5,8/28/2026,10,11:00,1,5,5,OP,warming,37.2
5,8/28/2026,10,11:00,1,5,6,OP,warming,36.6
5,8/28/2026,10,11:00,1,5,7,CP,warming,NA
5,8/28/2026,10,11:00,1,5,8,thermometer,NA,NA
5,8/28/2026,10,11:00,1,5,9,CP,control,35.5
5,8/28/2026,10,11:00,1,5,10,CP,control,35.4
5,8/28/2026,10,11:00,1,5,11,OP,control,36.2
5,8/28/2026,10,11:00,1,5,12,OP,control,37
