exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
1,2/11/2026,2,8:50,1,5,1,CP,warming,36.2
1,2/11/2026,2,8:50,1,5,2,OP,control,36.8
1,2/11/2026,2,8:50,1,5,3,thermometer,NA,NA
1,2/11/2026,2,8:50,1,5,4,CP,control,35.9
1,2/11/2026,2,8:50,1,5,5,OP,control,36.9
1,2/11/2026,2,8:50,1,5,6,CP,warming,36.9
1,2/11/2026,2,8:50,1,5,7,CP,control,36.2
1,2/11/2026,2,8:50,1,5,8,CP,control,36.8
1,2/11/2026,2,8:50,1,5,9,OP,warming,37.1
1,2/11/2026,2,8:50,1,5,10,OP,control,37.1
1,2/11/2026,2,8:50,1,5,11,OP,warming,36.9
1,2/11/2026,2,8:50,1,5,12,CP,warming,36.5
