exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
3,3/31/2026,1,12:00,1,5,1,thermometer,NA,NA
3,3/31/2026,1,12:00,1,5,2,OP,warming,36.6
3,3/31/2026,1,12:00,1,5,3,OP,warming,37.1
3,3/31/2026,1,12:00,1,5,4,OP,control,35.9
3,3/31/2026,1,12:00,1,5,5,CP,warming,36.6
3,3/31/2026,1,12:00,1,5,6,OP,control,36.2
3,3/31/2026,1,12:00,1,5,7,CP,warming,35.3
3,3/31/2026,1,12:00,1,5,8,CP,warming,36.5
3,3/31/2026,1,12:00,1,5,9,CP,control,35.8
3,3/31/2026,1,12:00,1,5,10,CP,control,35.8
3,3/31/2026,1,12:00,1,5,11,CP,control,36.2
3,3/31/2026,1,12:00,1,5,12,OP,warming,37.4
