exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
4,6/23/2026,7,11:30,2,4,1,CP,warming,37
4,6/23/2026,7,11:30,2,4,2,CP,warming,NA
4,6/23/2026,7,11:30,2,4,3,OP,control,36.6
4,6/23/2026,7,11:30,2,4,4,OP,control,35.8
4,6/23/2026,7,11:30,2,4,5,OP,warming,37.2
4,6/23/2026,7,11:30,2,4,6,CP,control,36.4
4,6/23/2026,7,11:30,2,4,7,OP,control,36.6
4,6/23/2026,7,11:30,2,4,8,OP,warming,36.9
4,6/23/2026,7,11:30,2,4,9,CP,control,36.6
4,6/23/2026,7,11:30,2,4,10,OP,warming,35.4
4,6/23/2026,7,11:30,2,4,11,thermometer,NA,NA
4,6/23/2026,7,11:30,2,4,12,CP,warming,36.3
