exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
4,6/19/2026,3,11:00,2,4,1,OP,control,36.7
4,6/19/2026,3,11:00,2,4,2,OP,warming,37.1
4,6/19/2026,3,11:00,2,4,3,CP,control,36.5
4,6/19/2026,3,11:00,2,4,4,CP,control,35.8
4,6/19/2026,3,11:00,2,4,5,OP,control,36.2
4,6/19/2026,3,11:00,2,4,6,CP,control,36.1
4,6/19/2026,3,11:00,2,4,7,CP,warming,36.3
4,6/19/2026,3,11:00,2,4,8,OP,warming,37.2
4,6/19/2026,3,11:00,2,4,9,thermometer,NA,NA
4,6/19/2026,3,11:00,2,4,10,CP,warming,36.7
4,6/19/2026,3,11:00,2,4,11,OP,control,35.9
4,6/19/2026,3,11:00,2,4,12,CP,warming,36.4
