exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
5,8/19/2026,1,11:00,4,1,1,CP,control,36.1
5,8/19/2026,1,11:00,4,1,2,CP,control,36.2
5,8/19/2026,1,11:00,4,1,3,OP,control,36.7
5,8/19/2026,1,11:00,4,1,4,CP,warming,36.3
5,8/19/2026,1,11:00,4,1,5,OP,control,37.1
5,8/19/2026,1,11:00,4,1,6,OP,warming,36.9
5,8/19/2026,1,11:00,4,1,7,CP,warming,36
5,8/19/2026,1,11:00,4,1,8,CP,warming,36.2
5,8/19/2026,1,11:00,4,1,9,CP,control,35.5
5,8/19/2026,1,11:00,4,1,10,OP,control,37.1
5,8/19/2026,1,11:00,4,1,11,OP,warming,36.8
5,8/19/2026,1,11:00,4,1,12,thermometer,NA,NA
