exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
3,4/1/2026,2,9,1,5,1,CP,warming,35.7
3,4/1/2026,2,9,1,5,2,CP,control,36
3,4/1/2026,2,9,1,5,3,CP,warming,36.7
3,4/1/2026,2,9,1,5,4,OP,warming,37
3,4/1/2026,2,9,1,5,5,OP,control,36.9
3,4/1/2026,2,9,1,5,6,OP,control,36.3
3,4/1/2026,2,9,1,5,7,OP,warming,37.5
3,4/1/2026,2,9,1,5,8,OP,warming,36.9
3,4/1/2026,2,9,1,5,9,CP,control,35.3
3,4/1/2026,2,9,1,5,10,CP,warming,37.1
3,4/1/2026,2,9,1,5,11,OP,control,35.5
3,4/1/2026,2,9,1,5,12,thermometer,NA,NA
